unit_id,ori_dg,tf_dg,preferred_orientation,preferred_temporal_frequency,osi_dg,dsi_dg,cv_os_dg,cv_ds_dg,peak_dff_dg
0,3,3,135.0,8.0,0.3333333333333333,0.0,0.22097086912079614,0.6211565058150108,0.18666666666666668
1,1,3,45.0,8.0,0.5555555555555555,0.0,0.32394177193585005,0.742472872379832,0.09333333333333334
2,0,1,0.0,2.0,0.33333333333333337,0.0,0.33333333333333337,0.7453559924999299,0.05333333333333334
3,3,1,135.0,2.0,0.2941176470588235,0.0,0.27839670597534133,0.7482014793269317,0.14666666666666667
4,3,1,135.0,2.0,0.8181818181818181,0.0,0.518360936936637,0.5149971519273127,0.13333333333333333
5,0,1,0.0,2.0,0.42857142857142855,0.0,0.24403790276103463,0.6231471075785642,0.6666666666666666
6,0,4,0.0,15.0,0.4,0.0,0.27950849718747367,0.6938762103550149,0.09333333333333334
7,0,1,0.0,2.0,0.49999999999999994,0.0,0.4472135954999579,0.5717192624095784,0.08
8,0,2,0.0,4.0,0.6842105263157895,0.0,0.44327620180693855,0.48880331383054815,0.21333333333333335
9,1,1,45.0,2.0,0.12688172043010754,0.0,0.07022556092301738,0.678292226952876,3.493333333333333
10,3,1,135.0,2.0,0.04784462340123161,0.0,0.046601939286999586,0.6359446740767105,14.746666666666666
11,3,1,135.0,2.0,0.027777777777777714,0.0,0.034688780798473665,0.640913469781523,10.36
12,0,1,0.0,2.0,0.05759959401167211,0.0,0.030825437256059778,0.6433309405630009,27.786666666666665
13,0,3,0.0,8.0,0.6923076923076923,0.0,0.5235475903822737,0.8246383921224936,0.14666666666666667
14,3,4,135.0,15.0,0.29600000000000004,0.0,0.18400037623118592,0.6552860135720087,1.08
15,0,1,0.0,2.0,0.03380374138496886,0.0,0.01913148305898662,0.646380912964442,21.0
16,1,2,45.0,4.0,0.09756097560975607,0.0,0.08504116650187718,0.6554740296566965,0.6
17,3,4,135.0,15.0,0.12062256809338522,0.0,0.08894702932009482,0.6600907862931759,1.92
18,0,2,0.0,4.0,1.0,0.0,0.5590169943749475,0.7635618477220015,0.05333333333333334
